 id,voted_up,playtime_forever,lang,is_zero_playtime,is_outlier_len,voted_up_str,Complete english only reviews
35,TRUE,8558,en,FALSE,FALSE,Positive,I think in September 30th 1998 the cop inside him died that day
36,TRUE,8494,en,FALSE,FALSE,Positive,"Best Resident Evil Remake so far, looking forward to 5th one."
37,TRUE,8369,en,FALSE,FALSE,Positive,"For me second best Remake of RE i have ever played, and i could say that's my Favorite i recommend everyone to play this Masterpiece!"
38,TRUE,8327,en,FALSE,FALSE,Positive,I think it's neat.
39,TRUE,8223,en,FALSE,FALSE,Positive,"""why drm on SINGLEPLAYER GAME"" singleplayer games are the primary target for piracy you  idiot, out of the billions of sperm cells your dad shot in your mom, somehow the one that cannot figure out the function of drm won the race.Either way it's gone now."
40,TRUE,8213,en,FALSE,FALSE,Positive,Best Re game ever no thought worth every penny
41,TRUE,8198,en,FALSE,FALSE,Positive,"pretty good remake of a classic, feels familiar while still changing things up, there are some removal/moving of content but the whole package still feels complete."
42,TRUE,8161,en,FALSE,FALSE,Positive,Now that I have finally played this game since a few ago and then finishing the original numerous times. I can confidently say that this game is the best remake of all time! Even after 3 years of its relase loll
43,TRUE,8075,en,FALSE,FALSE,Positive,"While the original RE4 is still a fantastic game on its own and will always hold a special place in my heart (please play it!), RE4R is to me just as much of a masterpiece. Between the gorgeous visuals and phenomenal sound design, the world feels so alive. Many of the ideas of the original are further expanded in fun (and sometimes terrifying) ways. Many character interactions are further explored and very charmingly. And for those who have played the original, I can't tell you how great it is to see familiar rooms making their returns. Nothing is a lazy 1:1 copy, but rather each pays unmistakable homage while providing its own distinct experience.Between that, all of the challenges, unlockables, and game modes [spoiler](and my boy Luis being playable for the first time in Mercenaries!!)[/spoiler], this game is forever in my rotation.HIGHLY recommended"
44,TRUE,8024,en,FALSE,FALSE,Positive,Excellent RE4 original was a favorite of my childhood and this did it complete service by adding/tweaking things that I would not notice till 2 or 3 ng's. This and RE2 remake are really the direction I hope they keep going.
46,TRUE,7994,en,FALSE,FALSE,Positive,"""GET THAT WHITE BOY"""
47,TRUE,7929,en,FALSE,FALSE,Positive,it is very resident evilish!!!!
48,TRUE,7854,en,FALSE,FALSE,Positive,"played the original RE4 for the first time ever about a month before i went through this game and its ALMOST perfect. the only thing that was worse IMO was the ambience of the game.the original had living, breathing audio in every location of the game and gave you some feeling of unease when you thought you could just sit still and rest. this remake treats everything with straight silence which i totally understand can be another way to make the player feel fear, but in this game its assured peace which considering all the context of this game [like leon being infected] youd want to keep the player on edge to keep them moving forward.its the single mistake this game has made, everything else is literally perfect. buy this game."
49,TRUE,7741,en,FALSE,FALSE,Positive,one of the best games ever made
50,TRUE,7623,en,FALSE,FALSE,Positive,the residents were kinda evil
51,TRUE,7536,en,FALSE,FALSE,Positive,i play game and game and i plahy it
52,TRUE,7440,en,FALSE,FALSE,Positive,"Good game but flawed. After playing for a while you will get anoyed at every enemy being a tank, that the player movement is slow as hell and parries being cancelled or not registering because you didn't look enough towards the attack. Better as a casual(play only once) experience."
53,TRUE,7400,en,FALSE,FALSE,Positive,How to get S+ on professional mode- Doing a speedrun- LEONNNN HELPPPPP !!!!!!!!!- Fail- Repeat the speedrun- LEONNNNN HELPPPPPPPPP !!!!!!!- Fail again- Repeat until Krauser kick your ass100/Nostalgia
54,TRUE,7376,en,FALSE,FALSE,Positive,"One of the Best, if you played the OG RE4 then this is a must-experience. Try to get that Professional S+ run, but beat it on Hardcore A+ rank first for the Ashley Medieval armor before you try =)"
55,TRUE,7273,en,FALSE,FALSE,Positive,Awesome GameplayAwesome GraphicsOK. storyHigh ReplayabilityA lot of things locked behind dlcsFinal score: A
56,TRUE,7250,en,FALSE,FALSE,Positive,The residents are evil even in Spain
57,TRUE,7227,en,FALSE,FALSE,Positive,10/10Best in the franchise meets the modern era.
58,TRUE,7190,en,FALSE,FALSE,Positive,i like the part where he kicks them
59,TRUE,7138,en,FALSE,FALSE,Positive,The best game in the series
60,TRUE,7131,en,FALSE,FALSE,Positive,"Big up LEON 'S Tier' KENNEDY, Capcom are BiS"
61,TRUE,7116,en,FALSE,FALSE,Positive,The Residents are evil for the 4th time. Amazing
62,TRUE,6946,en,FALSE,FALSE,Positive,the og 2005 version of this game is the one of the main reasons for my love of videogames and i can proudly and happily say that this game captures it what everygame should be i know that nothing is perfect but my god i cant lie this got pretty close
63,TRUE,6945,en,FALSE,FALSE,Positive,"Normaly Im on the side of Remake Culture that tends towards the originals over Remakes, however in my opinion RE4R eclipses its original in almost every way.While i liked OG RE4 i couldnt help to feel that the pacing was abysmal and overstated its welcome massively I expected the Island to be a final set-piece rather than an entire third of the Game. I played it twice and dont feel like going back to it ever again.I played this game for almost 200hrs over PC and Console.RE4R manages to keep its pacing just right, cutting certain sections of the game and adding them back into Separate Ways also fixes the problem of that side to not just run through the main games areas again.I love the new Gameplay, adding the Knife Parry was one of the best additions to be made.If I had to critique something than it would be that Salazar is an absolute downgrade over his OG both in Design and Story. Also Aim Blooming, why this is the wrong game. I can understand the thought process on 2R and 3R but here????I played so much Mercs despite me usually not being too much into the mode. (It also makes getting the Steam Achievement completion much easier if youre struggling. THX for that Capcom.) There is something to be said about the REmakes dodging core ideas of their originals identity. RE2R dropping the zapping System, RE3R the choices, RE4R makes managing Ashley basically void unless a short interaction on a grab. I know we all famously hate Escort missions but it is also a core part of the OGs identity and a feature not often done. That being said on the other hand a more enjoyable experience come out of that, its something to think about.The overall Meta progression feels great tho it asks maybe for a few too many replays especially considering its length IMO.Also the modding support for this game while dying down now is great helping with enjoying the many replays of this game.Now Capcom take this style of Game and put Jill in it but instead of Knife Parry you build on the Dodge from 3R thx."
64,TRUE,6932,en,FALSE,FALSE,Positive,"My favorite RE game, but I haven't played RE9 yet <3"
65,TRUE,6918,en,FALSE,FALSE,Positive,"if you have not played this game you are robbing yourself of an amazing opportunity, 100% worth every penny"
66,TRUE,6910,en,FALSE,FALSE,Positive,great game very good combat
67,TRUE,6884,en,FALSE,FALSE,Positive,"Very challenging, good graphics awesome gameplay, and story is perfect. 10/10. Replayability is what makes this game better than even requiem."
68,TRUE,6790,en,FALSE,FALSE,Positive,The most GOATED RE game of all time for me atleast. Leon is a complete badass throughout the entire game. Must Try.
69,TRUE,6686,en,FALSE,FALSE,Positive,trying to 100% the game cuz I'm too broke to buy re9 atm xD
70,TRUE,6654,en,FALSE,FALSE,Positive,"Resident Evil at its peak. Combat, movement, story, pacing. Requiem is awesome but this game still clears"
71,TRUE,6604,en,FALSE,FALSE,Positive,"I must admit, that was rather entertaining, Mr. Kennedy."
73,TRUE,6554,en,FALSE,FALSE,Positive,"Good game but not the same master piece as RE4 OG.The most prominent issue would be weak shooting feedback, plus telegraph grabbing, other than that all good."
74,TRUE,6426,en,FALSE,FALSE,Positive,Awesome experience to re play the game from PS 2
75,TRUE,6420,en,FALSE,FALSE,Positive,"It's re4, what else is there to say?"
76,TRUE,6377,en,FALSE,FALSE,Positive,"[h1] Good But Still Overrated [/h1][u] 7/10 [/u]RE4R is an incredibly faithful Remake. It practically does nothing but improve upon the original. Better graphics, better performance, better combat. The reason I'm giving it a 7 is because I've never been a huge fan of the original RE4 to begin with. I can't stand Ashley Trashley and I'm tired of saving her 17 times per chapter. Of course, the Remake does not change that. Also, to me personally, the origianal always felt a bit dragged-out. Of course, the Remake does not change that. The spanish village, as a setting, has always been a boring place to explore and have a game take place in, in my opinion, and of course, the Remake does not change that. There are plenty of positive things I could say as well, for example I've always loved the entire concept of The Merchent. I think it was a brilliant idea back in the day, and of course, it's done just as well here in the Remake. At the end of the day, RE4R is an incredibly faithful Remake, however, faithfully Remaking a 7/10 game does not magically make it a 10/10 in my eyes, as the problems I had with the original are all still here. I can say / write the exact same review for the Seperate Ways 'Story Expansion'."
77,TRUE,6377,en,FALSE,FALSE,Positive,very good and fun
78,TRUE,6302,en,FALSE,FALSE,Positive,"RE larpers talk about ada physics, a real RE fan talks of regenerador physics."
79,TRUE,6287,en,FALSE,FALSE,Positive,the best resident evil gamebetter than requiem for surethe replayability value hits the sky and maybe beats the OG
80,TRUE,6260,en,FALSE,FALSE,Positive,Worth every penny.
81,TRUE,6258,en,FALSE,FALSE,Positive,This game proves it is somehow possible to improve on perfection
82,TRUE,6195,en,FALSE,FALSE,Positive,84 hours in this game lol
83,TRUE,6163,en,FALSE,FALSE,Positive,Top 10 games oat
84,TRUE,6077,en,FALSE,FALSE,Positive,"Honestly, I dont really have anything bad to say about this game. I havent played the older Resident Evil titles from the 90s and early 2000s (The oldest RE game that I played so far was RE5), so I cant compare it to the original or stand on the nostalgia side like many longtime fans. But as someone experiencing this as a modern game, I can confidently say the remake is incredibly well done.The game is extremely detailed and packed with content. Theres always something new happening: different enemy types, multiple bosses, and a lot of gameplay mechanics that keep things fresh from start to finish. The story surrounding the Las Plagas parasite is also very interesting and offers a different direction compared to previous games that focused more on viruses.You again play as Leon S. Kennedy, and the combat feels very satisfying and more improved as Leon can now knock enemies down and follow up with powerful kicks, which makes combat feel more dynamic than in some of the earlier remakes.Another thing I really liked is the variety of locations and puzzles. The game constantly takes you to new environments, and the puzzles break up the action nicely. Like it's not focused only on one place, you're constantly on the move. My personal favorite part of the game was the castle section, and that's basically only one of the few times game tends to actually slow down.Overall, the game is full of content, mechanics, atmosphere, and memorable moments.For me, its a perfect score.10/10!"
85,TRUE,6019,en,FALSE,FALSE,Positive,"Sancho Panza, Princess Dulcinea and Don Quixote never looked this good!"
86,TRUE,6009,en,FALSE,FALSE,Positive,RE4 baybee; perfect remake
87,TRUE,5987,en,FALSE,FALSE,Positive,prob the best RE remake
88,TRUE,5883,en,FALSE,FALSE,Positive,The best remake
89,TRUE,5722,en,FALSE,FALSE,Positive,great game after all but i think capcom should mae resident evil 5 remake
90,TRUE,5638,en,FALSE,FALSE,Positive,"Best combat in an RE to date. Amazing remake. Does a lot of things better than the OG, but a few things are worse. The Remake flows better for sure, but this Leon isn't as cool and the corny dialogue of the OG is missed. Both the OG and Remake are 10/10s and one doesn't invalidate the other. I can't wait for another action focused RE like this."
91,TRUE,5627,en,FALSE,FALSE,Positive,Best Remake I ever Played In My Entire Life 10/10
93,TRUE,5512,en,FALSE,FALSE,Positive,"Bingo. That's the game, the remastered version is simply chef's kiss. The thing that makes this game look amazing is the eerie vibe it has to offer. The characters are also really well made and Luis is one of my favorite in this one. He's quite the comedian out there. SUPLEX"
94,TRUE,5510,en,FALSE,FALSE,Positive,My favorite game now
95,TRUE,5500,en,FALSE,FALSE,Positive,Truly one of the greats! I love everything Capcom did with this newer version. Well worth the price
96,TRUE,5471,en,FALSE,FALSE,Positive,THIS IS A GREAT GAME
97,TRUE,5454,en,FALSE,FALSE,Positive,Amazing remake. Does justice to the OG in this new era of games.The way Leon is portrayed here makes more sense regarding his character and past.
98,TRUE,5426,en,FALSE,FALSE,Positive,play this ho RN
99,TRUE,5400,en,FALSE,FALSE,Positive,of course its leon.
100,TRUE,5382,en,FALSE,FALSE,Positive,I bought the original- Loved it. I'm on my secondary playthrough of this game. I love it.
101,TRUE,5345,en,FALSE,FALSE,Positive,Modernized Peak Content ; /// REMEMBER WHAT THEY TOOK FROM YOU
102,TRUE,5340,en,FALSE,FALSE,Positive,"The combat is fun and fluent, its nice to actually be able to defend yourself and fight back, chaining together attacks and finding other ways then just unloading a clip to kill just 1 enemy. a decent length Resident Evil and plenty more to do through DLC. pretty close to a 10/10 RE"
103,TRUE,5270,en,FALSE,FALSE,Positive,"I played this in April 2025, and honestly, I was awestruck by the quality. As someone who grew up with the original GameCube version, I went in with high expectationsand this remake still managed to surprise me. Its not a 1:1 recreation, but it captures the spirit, the overthetop action, and the wild adventure of Leons journey in a way that feels both nostalgic and fresh.One of the biggest highlights for me is how they handled Luis Sera. His story feels more present, more human, and honestly more relatable. It plays like a redemption arc, and it adds emotional weight the original never fully explored.The parry system is another standout. Being able to counter attacks while on the brink of danger feels incredibly satisfying and adds a whole new layer of strategy. Its one of those mechanics that makes you wonder how is not present in other RE entries before.The RE Engine continues to be a monster. The graphics, the atmosphere, the lighting, the goreeverything is dialed up. The horror moments hit harder, the environments feel alive, and the game manages to be memorable while still offering a different take on the classic.I beat both the main game and Separate Ways on Hard, and Im already planning a Professional playthrough to unlock the remaining special weapons and items. This is the kind of game that makes you want to keep pushing yourself. Also tried Mercenaries Mode is pretty fun like the OG game! I think beside more character unlocks, there is also some special weapons I can get there.Only real issue I ran into was a strange bug: if you have too many save files, the loading screen to the main menu takes way too long. So maybe keep your save list tidy to avoid that slowdown.Overall, this remake is everything I hoped for and more. Now Im just hoping we get to see RE9 soonespecially if it continues Leons development and maybe even brings us back to Raccoon City.10/10  A brilliant reimagining that stands proudly beside the original."
104,TRUE,5266,en,FALSE,FALSE,Positive,Your right hand comes off?
105,TRUE,5253,en,FALSE,FALSE,Positive,Brilliant remake that mixes it up for returning vets and refreshing for newcomers.
106,TRUE,5244,en,FALSE,FALSE,Positive,"Fantastic remake of the original along with separate ways, 10/10."
107,TRUE,5144,en,FALSE,FALSE,Positive,"Levon is back in what's very possibly the best Residence of Evil game in the entire franchise! He's graduated from butt cheek slapping school at RPD and takes an Odyssey level journey to rescue a whiney blonde girl from anime style tentacle monsters. I mean these things are freaking everywhere. Luckily they respond well to bullets, biceps and back handed  talking. Suck it Evil, Mr. Kennedy's hair is perfect, and his joke books almost full."
108,TRUE,5133,en,FALSE,FALSE,Positive,One of the greatest games ever made... Again!
109,TRUE,5107,en,FALSE,FALSE,Positive,the best ever
110,TRUE,5103,en,FALSE,FALSE,Positive,Best remaster of all time hands down.
111,TRUE,5100,en,FALSE,FALSE,Positive,worst thing about this game is that you can never play it for the first time again
112,TRUE,5089,en,FALSE,FALSE,Positive,"Totally reccomend it!The only downside that kinda lost the darkish atmosphere compared to the original RE4 , theres some cut content like the castle puzzles, Lava part , field traps etc but tolareble.And the most important, [b] Its well optimized! [/b]Played on a GTX1050Ti and GTX1060 6GB , just some tweeks on graphic settings and it can be played at 1080p/60fps.(such as rendering mode to interlaced is the most important to low-end PCs like mine)"
113,TRUE,5048,en,FALSE,FALSE,Positive,LET ME TELL YOU SOMTHING ABOUT LOVE...
114,TRUE,4999,en,FALSE,FALSE,Positive,"Amazing, brilliant remake, probably the best RE game ever."
115,TRUE,4946,en,FALSE,FALSE,Positive,Simply the GOAT of RE Games.
116,TRUE,4902,en,FALSE,FALSE,Positive,"I remember the good old times as a kid, when i first played original, 20 years latter this game still hits hard. One of the best of all time. There is nothing bad about this game, its pure perfection."
117,TRUE,4893,en,FALSE,FALSE,Positive,"Amazing. 10/10If you played RE4 classic, you'll love this remake. Same replayability."
118,TRUE,4852,en,FALSE,FALSE,Positive,leon is my hsuband
119,TRUE,4810,en,FALSE,FALSE,Positive,"RE4 is my favorite in the REmake trilogy!! From its engaging story staring my main man Leon S. Kennedy, to its amazing gameplay making modes like Mercenaries all time side modes I return to over and over! When choosing a game to play from the RE universe I find myself partial to this one most times!! I highly recommend!"
120,TRUE,4790,en,FALSE,FALSE,Positive,"Bought the OG 2005 on Gamecube. Then bought it on PS2, a second time on Gamecube, on Xbox 360, on PC physical AND digital, on PS4 and I lost count...don't even know what my total game time is on RE4...It IS my favourite game of all time and the remake DOES honor the OG.Maybe the only downside I found about the remake is that, although I have a pretty good PC build, the game suffers from micro stuttering here and there and it's sometimes frustrating."
121,TRUE,4772,en,FALSE,FALSE,Positive,"not a 1:1 remake but ngl i like it better, less campy tone and far less over the top than the 2005 game but i think it works better. solid straightforward gameplay, great graphics, interesting cheesy b-movie esque story. plenty of good quality of life improvements as well that make it so the only frustration you gotta deal with is your own stupidity and carelessness instead of the game and it's UI or controls. only real complaint is the removal of headshots being a guaranteed stagger like in the original game, the random chance aspect of it (influenced by difficulty) can make some larger fights annoying because crowd control is harder to do."
122,TRUE,4741,en,FALSE,FALSE,Positive,A remake of one of the greatest games of all time that is also one of the best games of all time.A must play for any gamer.
123,TRUE,4731,en,FALSE,FALSE,Positive,"2nd Best Game Ever, close 2nd to the OG!"
124,TRUE,4730,en,FALSE,FALSE,Positive,"My personal favorite resident evil game, absolute 10/10 except i wish they added the ""no thanks, bro"" line from the original. The og 2005 game is a must play too :D"
125,TRUE,4721,en,FALSE,FALSE,Positive,10/10Worth buying just for the shooting range gambling
128,TRUE,4656,en,FALSE,FALSE,Positive,"Very well done remake, very much like re2 and very unlike re3 quality. This is probably the best one in my opinion out of all the remakes so far and I think it should be the last. 5 doesn't need a remake, burry the remakes on a high note and continue with the new RE games because since 7 the franchise is feeling like resident evil again and not some crap like 6 was. Dont risk tarnishing it with another re3 flop remake. I loved 5, played the  out of it but I hope this is where they end it.This game was a good challenge, cant cheese anywhere near as much as the OG.10/10 remake, well worth the money. Give us more new, quality games."
129,TRUE,4641,en,FALSE,FALSE,Positive,"this is a really good remake it does a lot of stuff really well and although i still prefer the original from 2005, leon is a hottie so it gets a 10/10"
130,TRUE,4619,en,FALSE,FALSE,Positive,you'll be stressing out over everything trying to kill you violently and then leon comes up with a stupid one liner. a definite banger.
131,TRUE,4603,en,FALSE,FALSE,Positive,"broke my mouse trying to get professional S+, would buy another mouse for this masterpiece"
132,TRUE,4601,en,FALSE,FALSE,Positive,Highly Recommend this game for whoever likes the resident evil games it doesn't disappoint. One of the best I have played.
133,TRUE,4599,en,FALSE,FALSE,Positive,"This game lowkey irritated me for the dialogue changes and content left out compared to the original and I have to admit the OG RE4 is still a 10 out of 10 game imo...But this is legit a great remake. Is it better than RE2 Remake? No. But it's much better than the RE 3 one. The parrying and combat are very fun. Worth the money and so is seperate ways (Even with robo-Ada's voice actress.)SW is basically having another game to play in this one. It's a lot of good content.If you like RE games and want the non-fps experience of the old ones, this is still a great one to play."
134,TRUE,4564,en,FALSE,FALSE,Positive,Best game ever. You know it. I know it. So let's stop pretending.
135,TRUE,4560,en,FALSE,FALSE,Positive,"Hands down my favorite RE game, and for good reason. The story is fantastic, the gameplay is smooth, and the characters are all very memorable."
136,TRUE,4529,en,FALSE,FALSE,Positive,"I never did get around to playing the original RE:4 back in the day, but after playing this remake I can see why people talk about the game with high praise. It has been a lot of fun to play and I can tell those S+ speed runs are going to be challenging and fun as hell to do. I definitely recommend this remake to anyone whos a fan of the series and hasn't gotten around to playing this one yet or if youve only played the original. 10/10"
137,TRUE,4521,en,FALSE,FALSE,Positive,"Gotta be my favorite of all the Resident evil games I've played so far, it feels like there's always something you can do, the inventory system absolutely feeds the little gremlin in my head that loves to organize, getting the infinite rocket launcher feels so rewarding to get, and so satisfying to just obliterate everything with, and to top it all off, Ashley actually isn't that annoying compared to the original"
138,TRUE,4501,en,FALSE,FALSE,Positive,> Play on Professional difficulty.> Get absolutely destroyed physically and mentally.Where's everyone going? The asylum? 10/10
139,TRUE,4490,en,FALSE,FALSE,Positive,"Still the best Resident Evil game I've played. This is the perfect mix of Action-Horror I really like, which leans more into action, but not Resident Evil 6 action which was absurd.Awesome DLC as well with Separate Ways.Setting is really good, with nice optional backtrack and replayability."
140,TRUE,4480,en,FALSE,FALSE,Positive,"as someone whose played the original, absolutely.also, the remakes of RE2 & RE3 both served as a beginner& intermediate tutorials for this game alone.But in RE4R, your enemies aren't the undead...they're human but possessed.which means they're armed & far more dangerous. but fret not if you're worriedabout being hit with either hatchets or pitchforks, the remake of RE4 introducesa parry system, which will make or break the difference between life & death...even against enemies that have chainsaws.Besides the game's main storyline itself riddled with combat, puzzles & helpfrom your AI partner in certain situations, there are side-quests to keep you engagedand the entire game has tons of loot to sell in order to buy new weapons, upgradesand even repairs for your knife. and trust me: you will be needing to maintain your knifeevery now & then whenever you're short on ammo.Besides the overall gameplay itself with either Leon, Ashley & even Ada's DLC campaign,there's also a horde mode called ""The Mercenaries"" which'll keep you entertained whichoffer unlockable characters whenever you get a high rank with the starter characters.Final verdict: This game alone is ideal for when you wanna try something new but is alsosurprisingly classic at the same time. also, RE4 Remake serves as tutorial mode for RE9: Requiem...so make sure you hone your skills with not just your guns, but your knife especially.you're gonna need it if you hope to survive RE9: Requiem."
141,TRUE,4460,en,FALSE,FALSE,Positive,Simply the best Resident Evil game. Incredibly satisfying gameplay and a large amount of replayability if youre willing to challenge yourself. This is my 2nd time getting all achievements in this game and its still so fun.
142,TRUE,4434,en,FALSE,FALSE,Positive,amazing game but i despise the island part with my life
143,TRUE,4434,en,FALSE,FALSE,Positive,"I love the original game, have completed it many, many times and I have to say, what Capcom did with the remake is amazing. The most important take away from the whole game is, that this is not a remaster, its a remake. In its core, its the same game but almost everything about it has been remade and plenty of things have been added to it. Its not supposed to replace the original, its just another take at Resident Evil 4The game is very different, yet the same. Bigger changes include stuff like:- Very, very expanded map that s no longer constrained by 20 year old tech. The game goes through the same main ""hubs"" as the original, but no area is left the same. They added plenty of addition, expansion and scale to each area, so going through them is very fresh and the game is much longer, if you don t rush through it. - A revised combat system. The whole thing has been modernized. You can now move while shooting, which feels great. They balanced it by increasing the number of enemies you face and adding more enemy variation and new enemies. The knife also plays a much bigger part. It has durability, you can stealth take down enemies with it and also parry attacks as sort of quick time event, where you have to time your block well, but that drains durability. Overall, the combat feels very fluid and very fun. Enemy hitboxes still work great and you play the game basically the same way as the original, where you try to shoot weak points to execute melee takedowns. The balancing is great, even with all these changes, the remake is definitely harder than the og. Especially on profeasional. - New & old familiar weapons, new enemy types, side objectives, some characters (like Luis) being a bigger part of the story, collectibles, crafting system, more lore, weapon wheel and moreGame also includes Mercenaries mode from the original for free and its also very fun. + it includes some new characters compared to the original. You can also buy Separate ways as a paid DLC, which is also heavily revised, even though I haven t yet played through the whole DLC, what i have played seems good too.Performance vise its fantastic. Game is very well optimized and there s very few bugs.Re4 remake is a fantastic game & it can easily face off against the mainline RE games. Very much recommended, weather or not you have played the OG or not. If you have, the remake still feels extremely fresh and if you haven t you re in for a great experience. Easily worth the full price."
144,TRUE,4422,en,FALSE,FALSE,Positive,Excellent game. Runs surprisingly well on a PC that struggles with Village
145,TRUE,4409,en,FALSE,FALSE,Positive,Lemon S. Kennedy
146,TRUE,4407,en,FALSE,FALSE,Positive,great game and a lot of time put into it. it is also one of my fav RE games
147,TRUE,4400,en,FALSE,FALSE,Positive,This game is so much fun and run flawlessly on my PcStory is one of the best in the whole series
148,TRUE,4399,en,FALSE,FALSE,Positive,Amazing. True remake and the gameplay is really something. Hope RE5 remake is just as good.
