 id,Complete english only reviews,voted_up,playtime_forever,lang,is_zero_playtime,is_outlier_len,voted_up_str,Sentiment_Label,Confidence_Score,model_agrees
84,"Honestly, I dont really have anything bad to say about this game. I havent played the older Resident Evil titles from the 90s and early 2000s (The oldest RE game that I played so far was RE5), so I cant compare it to the original or stand on the nostalgia side like many longtime fans. But as someone experiencing this as a modern game, I can confidently say the remake is incredibly well done.The game is extremely detailed and packed with content. Theres always something new happening: different enemy types, multiple bosses, and a lot of gameplay mechanics that keep things fresh from start to finish. The story surrounding the Las Plagas parasite is also very interesting and offers a different direction compared to previous games that focused more on viruses.You again play as Leon S. Kennedy, and the combat feels very satisfying and more improved as Leon can now knock enemies down and follow up with powerful kicks, which makes combat feel more dynamic than in some of the earlier remakes.Another thing I really liked is the variety of locations and puzzles. The game constantly takes you to new environments, and the puzzles break up the action nicely. Like it's not focused only on one place, you're constantly on the move. My personal favorite part of the game was the castle section, and that's basically only one of the few times game tends to actually slow down.Overall, the game is full of content, mechanics, atmosphere, and memorable moments.For me, its a perfect score.10/10!",TRUE,6077,en,FALSE,FALSE,Positive,Positive,0.9996,TRUE
85,"Sancho Panza, Princess Dulcinea and Don Quixote never looked this good!",TRUE,6019,en,FALSE,FALSE,Positive,Negative,0.999,FALSE
86,RE4 baybee; perfect remake,TRUE,6009,en,FALSE,FALSE,Positive,Positive,0.9981,TRUE
87,prob the best RE remake,TRUE,5987,en,FALSE,FALSE,Positive,Positive,0.9982,TRUE
88,The best remake,TRUE,5883,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
89,great game after all but i think capcom should mae resident evil 5 remake,TRUE,5722,en,FALSE,FALSE,Positive,Positive,0.7033,TRUE
90,"Best combat in an RE to date. Amazing remake. Does a lot of things better than the OG, but a few things are worse. The Remake flows better for sure, but this Leon isn't as cool and the corny dialogue of the OG is missed. Both the OG and Remake are 10/10s and one doesn't invalidate the other. I can't wait for another action focused RE like this.",TRUE,5638,en,FALSE,FALSE,Positive,Negative,0.9904,FALSE
91,Best Remake I ever Played In My Entire Life 10/10,TRUE,5627,en,FALSE,FALSE,Positive,Positive,0.9996,TRUE
93,"Bingo. That's the game, the remastered version is simply chef's kiss. The thing that makes this game look amazing is the eerie vibe it has to offer. The characters are also really well made and Luis is one of my favorite in this one. He's quite the comedian out there. SUPLEX",TRUE,5512,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
94,My favorite game now,TRUE,5510,en,FALSE,FALSE,Positive,Positive,0.9994,TRUE
95,Truly one of the greats! I love everything Capcom did with this newer version. Well worth the price,TRUE,5500,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
96,THIS IS A GREAT GAME,TRUE,5471,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
97,Amazing remake. Does justice to the OG in this new era of games.The way Leon is portrayed here makes more sense regarding his character and past.,TRUE,5454,en,FALSE,FALSE,Positive,Positive,0.9997,TRUE
98,play this ho RN,TRUE,5426,en,FALSE,FALSE,Positive,Negative,0.9227,FALSE
99,of course its leon.,TRUE,5400,en,FALSE,FALSE,Positive,Positive,0.998,TRUE
100,I bought the original- Loved it. I'm on my secondary playthrough of this game. I love it.,TRUE,5382,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
101,Modernized Peak Content ; /// REMEMBER WHAT THEY TOOK FROM YOU,TRUE,5345,en,FALSE,FALSE,Positive,Positive,0.9803,TRUE
102,"The combat is fun and fluent, its nice to actually be able to defend yourself and fight back, chaining together attacks and finding other ways then just unloading a clip to kill just 1 enemy. a decent length Resident Evil and plenty more to do through DLC. pretty close to a 10/10 RE",TRUE,5340,en,FALSE,FALSE,Positive,Positive,0.9978,TRUE
103,"I played this in April 2025, and honestly, I was awestruck by the quality. As someone who grew up with the original GameCube version, I went in with high expectationsand this remake still managed to surprise me. Its not a 1:1 recreation, but it captures the spirit, the overthetop action, and the wild adventure of Leons journey in a way that feels both nostalgic and fresh.One of the biggest highlights for me is how they handled Luis Sera. His story feels more present, more human, and honestly more relatable. It plays like a redemption arc, and it adds emotional weight the original never fully explored.The parry system is another standout. Being able to counter attacks while on the brink of danger feels incredibly satisfying and adds a whole new layer of strategy. Its one of those mechanics that makes you wonder how is not present in other RE entries before.The RE Engine continues to be a monster. The graphics, the atmosphere, the lighting, the goreeverything is dialed up. The horror moments hit harder, the environments feel alive, and the game manages to be memorable while still offering a different take on the classic.I beat both the main game and Separate Ways on Hard, and Im already planning a Professional playthrough to unlock the remaining special weapons and items. This is the kind of game that makes you want to keep pushing yourself. Also tried Mercenaries Mode is pretty fun like the OG game! I think beside more character unlocks, there is also some special weapons I can get there.Only real issue I ran into was a strange bug: if you have too many save files, the loading screen to the main menu takes way too long. So maybe keep your save list tidy to avoid that slowdown.Overall, this remake is everything I hoped for and more. Now Im just hoping we get to see RE9 soonespecially if it continues Leons development and maybe even brings us back to Raccoon City.10/10  A brilliant reimagining that stands proudly beside the original.",TRUE,5270,en,FALSE,FALSE,Positive,Positive,0.997,TRUE
104,Your right hand comes off?,TRUE,5266,en,FALSE,FALSE,Positive,Negative,0.9845,FALSE
105,Brilliant remake that mixes it up for returning vets and refreshing for newcomers.,TRUE,5253,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
106,"Fantastic remake of the original along with separate ways, 10/10.",TRUE,5244,en,FALSE,FALSE,Positive,Positive,0.9997,TRUE
107,"Levon is back in what's very possibly the best Residence of Evil game in the entire franchise! He's graduated from butt cheek slapping school at RPD and takes an Odyssey level journey to rescue a whiney blonde girl from anime style tentacle monsters. I mean these things are freaking everywhere. Luckily they respond well to bullets, biceps and back handed  talking. Suck it Evil, Mr. Kennedy's hair is perfect, and his joke books almost full.",TRUE,5144,en,FALSE,FALSE,Positive,Positive,0.9956,TRUE
108,One of the greatest games ever made... Again!,TRUE,5133,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
109,the best ever,TRUE,5107,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
110,Best remaster of all time hands down.,TRUE,5103,en,FALSE,FALSE,Positive,Positive,0.9973,TRUE
111,worst thing about this game is that you can never play it for the first time again,TRUE,5100,en,FALSE,FALSE,Positive,Negative,0.9997,FALSE
112,"Totally reccomend it!The only downside that kinda lost the darkish atmosphere compared to the original RE4 , theres some cut content like the castle puzzles, Lava part , field traps etc but tolareble.And the most important, [b] Its well optimized! [/b]Played on a GTX1050Ti and GTX1060 6GB , just some tweeks on graphic settings and it can be played at 1080p/60fps.(such as rendering mode to interlaced is the most important to low-end PCs like mine)",TRUE,5089,en,FALSE,FALSE,Positive,Positive,0.9516,TRUE
113,LET ME TELL YOU SOMTHING ABOUT LOVE...,TRUE,5048,en,FALSE,FALSE,Positive,Positive,0.9933,TRUE
114,"Amazing, brilliant remake, probably the best RE game ever.",TRUE,4999,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
115,Simply the GOAT of RE Games.,TRUE,4946,en,FALSE,FALSE,Positive,Negative,0.995,FALSE
116,"I remember the good old times as a kid, when i first played original, 20 years latter this game still hits hard. One of the best of all time. There is nothing bad about this game, its pure perfection.",TRUE,4902,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
117,"Amazing. 10/10If you played RE4 classic, you'll love this remake. Same replayability.",TRUE,4893,en,FALSE,FALSE,Positive,Positive,0.9997,TRUE
118,leon is my hsuband,TRUE,4852,en,FALSE,FALSE,Positive,Positive,0.9885,TRUE
119,"RE4 is my favorite in the REmake trilogy!! From its engaging story staring my main man Leon S. Kennedy, to its amazing gameplay making modes like Mercenaries all time side modes I return to over and over! When choosing a game to play from the RE universe I find myself partial to this one most times!! I highly recommend!",TRUE,4810,en,FALSE,FALSE,Positive,Positive,0.9997,TRUE
120,"Bought the OG 2005 on Gamecube. Then bought it on PS2, a second time on Gamecube, on Xbox 360, on PC physical AND digital, on PS4 and I lost count...don't even know what my total game time is on RE4...It IS my favourite game of all time and the remake DOES honor the OG.Maybe the only downside I found about the remake is that, although I have a pretty good PC build, the game suffers from micro stuttering here and there and it's sometimes frustrating.",TRUE,4790,en,FALSE,FALSE,Positive,Negative,0.9933,FALSE
121,"not a 1:1 remake but ngl i like it better, less campy tone and far less over the top than the 2005 game but i think it works better. solid straightforward gameplay, great graphics, interesting cheesy b-movie esque story. plenty of good quality of life improvements as well that make it so the only frustration you gotta deal with is your own stupidity and carelessness instead of the game and it's UI or controls. only real complaint is the removal of headshots being a guaranteed stagger like in the original game, the random chance aspect of it (influenced by difficulty) can make some larger fights annoying because crowd control is harder to do.",TRUE,4772,en,FALSE,FALSE,Positive,Positive,0.9937,TRUE
122,A remake of one of the greatest games of all time that is also one of the best games of all time.A must play for any gamer.,TRUE,4741,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
123,"2nd Best Game Ever, close 2nd to the OG!",TRUE,4731,en,FALSE,FALSE,Positive,Positive,0.9994,TRUE
124,"My personal favorite resident evil game, absolute 10/10 except i wish they added the ""no thanks, bro"" line from the original. The og 2005 game is a must play too :D",TRUE,4730,en,FALSE,FALSE,Positive,Positive,0.9947,TRUE
125,10/10Worth buying just for the shooting range gambling,TRUE,4721,en,FALSE,FALSE,Positive,Negative,0.9943,FALSE
128,"Very well done remake, very much like re2 and very unlike re3 quality. This is probably the best one in my opinion out of all the remakes so far and I think it should be the last. 5 doesn't need a remake, burry the remakes on a high note and continue with the new RE games because since 7 the franchise is feeling like resident evil again and not some crap like 6 was. Dont risk tarnishing it with another re3 flop remake. I loved 5, played the  out of it but I hope this is where they end it.This game was a good challenge, cant cheese anywhere near as much as the OG.10/10 remake, well worth the money. Give us more new, quality games.",TRUE,4656,en,FALSE,FALSE,Positive,Positive,0.993,TRUE
129,"this is a really good remake it does a lot of stuff really well and although i still prefer the original from 2005, leon is a hottie so it gets a 10/10",TRUE,4641,en,FALSE,FALSE,Positive,Positive,0.9997,TRUE
130,you'll be stressing out over everything trying to kill you violently and then leon comes up with a stupid one liner. a definite banger.,TRUE,4619,en,FALSE,FALSE,Positive,Negative,0.9929,FALSE
131,"broke my mouse trying to get professional S+, would buy another mouse for this masterpiece",TRUE,4603,en,FALSE,FALSE,Positive,Negative,0.9983,FALSE
132,Highly Recommend this game for whoever likes the resident evil games it doesn't disappoint. One of the best I have played.,TRUE,4601,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
133,"This game lowkey irritated me for the dialogue changes and content left out compared to the original and I have to admit the OG RE4 is still a 10 out of 10 game imo...But this is legit a great remake. Is it better than RE2 Remake? No. But it's much better than the RE 3 one. The parrying and combat are very fun. Worth the money and so is seperate ways (Even with robo-Ada's voice actress.)SW is basically having another game to play in this one. It's a lot of good content.If you like RE games and want the non-fps experience of the old ones, this is still a great one to play.",TRUE,4599,en,FALSE,FALSE,Positive,Positive,0.9995,TRUE
134,Best game ever. You know it. I know it. So let's stop pretending.,TRUE,4564,en,FALSE,FALSE,Positive,Positive,0.999,TRUE
135,"Hands down my favorite RE game, and for good reason. The story is fantastic, the gameplay is smooth, and the characters are all very memorable.",TRUE,4560,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
136,"I never did get around to playing the original RE:4 back in the day, but after playing this remake I can see why people talk about the game with high praise. It has been a lot of fun to play and I can tell those S+ speed runs are going to be challenging and fun as hell to do. I definitely recommend this remake to anyone whos a fan of the series and hasn't gotten around to playing this one yet or if youve only played the original. 10/10",TRUE,4529,en,FALSE,FALSE,Positive,Positive,0.9994,TRUE
137,"Gotta be my favorite of all the Resident evil games I've played so far, it feels like there's always something you can do, the inventory system absolutely feeds the little gremlin in my head that loves to organize, getting the infinite rocket launcher feels so rewarding to get, and so satisfying to just obliterate everything with, and to top it all off, Ashley actually isn't that annoying compared to the original",TRUE,4521,en,FALSE,FALSE,Positive,Positive,0.9983,TRUE
